,Information Technology,Financials,Health Care,Consumer Discretionary,Industrials,Energy,Consumer Staples,Materials,Utilities,Telecommunication Services
2023-05-01 00:00:00,2654.81,549.94,1564.51,1140.15,850.77,646.97,807.92,506.87,350.98,198.2
2023-05-02 00:00:00,2630.12,537.3,1556.88,1141.94,841.85,619.28,805.32,502.06,346.67,194.67
2023-05-03 00:00:00,2608.26,530.92,1555.15,1133.79,838.62,607.37,798.98,496.5,345.58,194.34
2023-05-04 00:00:00,2595.47,524.05,1542.58,1125.9,829.44,600.65,796.63,493.32,348.11,191.9
2023-05-05 00:00:00,2665.88,536.83,1556.81,1148.4,841.93,617.15,803.74,501.5,350.42,193.81
2023-05-08 00:00:00,2665.41,537.96,1553.41,1151.9,838.82,617.61,801.94,500.01,349.28,196.28
2023-05-09 00:00:00,2642.62,535.97,1542.68,1152.1,840.28,617.83,799.5,495.34,348.57,195.26
2023-05-10 00:00:00,2674.99,532.87,1546.86,1159.34,837.56,610.73,798.32,495.59,351.86,198.56
2023-05-11 00:00:00,2662.98,531.79,1541.67,1165.73,832.15,603.13,800.82,490.69,347.84,201.84
2023-05-12 00:00:00,2657.03,529.6,1538.82,1155.36,832.24,603.84,803.68,491.53,349.38,202.22
2023-05-15 00:00:00,2676.65,533.93,1536.3,1156.98,836.46,605.06,801.49,495.69,345.04,202.16
2023-05-16 00:00:00,2680.98,528.76,1523.76,1154.05,825.06,589.71,794.47,487.54,337.12,203.36
2023-05-17 00:00:00,2715.38,539.82,1525.24,1177.59,839.09,601.93,793.66,490.79,335.92,205.76
2023-05-18 00:00:00,2771.43,543.6,1521.53,1195.75,844.69,604.88,790.14,493.48,334.71,209.44
2023-05-19 00:00:00,2768.34,541.16,1528.47,1185.73,842.42,609.3,790.19,494.76,334.15,208.41
2023-05-22 00:00:00,2771.98,542.38,1529.13,1181.37,842.45,606.94,778.59,492.05,334.24,210.85
2023-05-23 00:00:00,2730.44,535.76,1511.87,1171.09,832.07,613.23,773.06,484.49,333.1,207.73
2023-05-24 00:00:00,2713.42,528.74,1501.91,1168.38,821.53,616.43,768.05,479.04,331.01,206.48
2023-05-25 00:00:00,2834.06,528.91,1486.3,1162.34,824.03,604.77,762.16,477.22,326.45,207.37
2023-05-26 00:00:00,2909.96,532.82,1483.73,1190.01,830.39,602.51,764.84,479.21,326.13,210.92
2023-05-30 00:00:00,2928.21,532.81,1473.78,1199.02,828.48,596.86,756.55,476.37,324.86,210.77
2023-05-31 00:00:00,2896.25,526.72,1486.28,1188.04,816.88,585.66,757.09,471.02,327.97,210.66
2023-06-01 00:00:00,2934.83,532.48,1496.25,1202.5,827.19,592.86,756.44,476.86,325.4,213.08
2023-06-02 00:00:00,2949.82,544.11,1516.22,1228.92,851.69,610.41,766.99,492.95,328.7,213.29
2023-06-05 00:00:00,2933.3,541.05,1522.04,1233.19,845.64,606.86,764.31,492.46,330.17,214.52
2023-06-06 00:00:00,2929.66,548.25,1508.67,1245.44,850.74,611.05,760.72,495.67,329.95,215.58
2023-06-07 00:00:00,2882.29,550.06,1502.41,1234.14,864.24,627.22,758.22,501.5,335.56,211.55
2023-06-08 00:00:00,2916.83,549.44,1512.14,1253.45,865.78,624.43,763.84,499.75,336.93,212.11
2023-06-09 00:00:00,2930.38,549.85,1515.05,1258.94,863.48,620.82,762.95,495.64,334.98,212.39
2023-06-12 00:00:00,2991.18,549.34,1522,1280.79,869.48,614.8,763,497.82,334.42,214.93
2023-06-13 00:00:00,3012.51,552.72,1530.05,1293.65,879.55,617.67,766.19,509.43,334.21,215.52
2023-06-14 00:00:00,3046.95,550.7,1512.91,1292.23,876.99,610.77,770.46,507.22,333.98,215.8
2023-06-15 00:00:00,3085.83,557.62,1536.36,1301.04,890.25,617.1,777.63,511.54,337.51,219.12
2023-06-16 00:00:00,3060.37,556.4,1536.25,1298.65,888.91,616.43,777.99,512.1,339.29,216.92
2023-06-20 00:00:00,3046.87,552.58,1533.99,1308.39,882.17,602.31,772.16,505.67,335.33,216.29
2023-06-21 00:00:00,3003.82,551.54,1534.94,1293.07,887.17,607.85,775.15,507.46,338.15,213.36
2023-06-22 00:00:00,3031.52,547.44,1544.88,1312.91,880.85,599.93,779.13,505.99,335.59,215.81
2023-06-23 00:00:00,2998.1,545.15,1539.92,1298.4,874.25,595.17,774.52,502.04,330.51,215.28
2023-06-26 00:00:00,2967.11,544.08,1530.7,1282.2,881.18,605.37,774.79,507.06,333.75,211.23
2023-06-27 00:00:00,3027.7,547.93,1527.64,1308.58,892.24,606.74,777.41,514.15,333.89,213.6
2023-06-28 00:00:00,3026.94,546.94,1522.26,1311.84,891.9,612.9,772.81,510.66,328.95,215.31
2023-06-29 00:00:00,3030.78,556.09,1532.09,1312.58,900.26,619.71,771.63,517.14,328.8,213.95
2023-06-30 00:00:00,3085.84,561.11,1548.62,1330.54,908.09,623.56,778.82,521.93,332.8,216.08
2023-07-03 00:00:00,3076.34,564.63,1535.95,1344.84,908.72,625.5,784.19,523.53,335.02,216.36
2023-07-05 00:00:00,3059.1,562.76,1535.16,1345.97,903.24,622.11,783.46,510.6,338.7,218.97
2023-07-06 00:00:00,3054.18,557.65,1521.86,1323.82,896.56,606.87,780.76,506.98,334.61,216.64
2023-07-07 00:00:00,3040.87,558.53,1504.14,1326.17,898.61,619.4,770.3,511.46,332.14,215.39
2023-07-10 00:00:00,3040.34,561,1516.29,1327.6,911.11,624.08,770.56,511.42,330.75,213.41
2023-07-11 00:00:00,3046.22,567.7,1516.35,1338.99,922.06,637.81,771.61,516.39,334.86,215.66
2023-07-12 00:00:00,3084.39,571.29,1512.18,1351.81,920.19,643.57,773.42,523.07,339.77,218.91
2023-07-13 00:00:00,3130.5,573.39,1511.97,1366.41,921.59,640.65,776.83,527.19,341.06,223.99
2023-07-14 00:00:00,3125.78,569.49,1534.69,1370.1,918.53,623.02,779.52,524.15,339.66,222.63
2023-07-17 00:00:00,3167.43,575.21,1528.05,1374.46,922.4,622.26,777.21,524.56,335.66,221.18
2023-07-18 00:00:00,3207.29,581.68,1538.75,1378.25,927.62,628.35,776.21,528.63,333.05,222.03
2023-07-19 00:00:00,3198.51,584.28,1546.36,1385.45,927.15,631.64,783.42,525.9,336.45,222.54
2023-07-20 00:00:00,3133.23,588.34,1571.85,1338.34,930.92,639.8,789.64,527.18,342.67,217.01
2023-07-21 00:00:00,3123.42,586.32,1587.77,1338.83,926.65,645,792.31,527.18,347.8,215.92
2023-07-24 00:00:00,3131.47,592.27,1584.08,1345.84,928.85,655.7,795.36,528.81,346.82,216.92
2023-07-25 00:00:00,3168.67,587.92,1583.09,1342.8,927.64,659.42,794.95,538.13,347.57,217.84
2023-07-26 00:00:00,3127.59,591.76,1581.84,1341.96,933.79,658.83,796.63,536.6,347.41,223.61
2023-07-27 00:00:00,3117.01,584.11,1569.73,1330.34,926.15,655.25,790.16,533.01,341.41,225.52
2023-07-28 00:00:00,3163.09,584.9,1574.35,1354.99,931.88,655.86,797.98,536.71,340.51,230.71
2023-07-31 00:00:00,3167.14,587.5,1561.85,1362.52,934.02,668.98,794.32,539.48,340.62,230.64
2023-08-01 00:00:00,3169.9,587.32,1553.85,1346.88,936.97,665.88,790.27,537.08,336.34,229.97
2023-08-02 00:00:00,3087.76,582.12,1554.75,1322.05,926.84,656.96,792.25,530.46,336.32,225.2
2023-08-03 00:00:00,3078,582.52,1547.02,1326.59,921.18,663.21,790.9,527.26,328.62,224.82
2023-08-04 00:00:00,3032.02,580.02,1541.39,1351.9,915.16,663.38,782.82,525.84,324.65,224.13
2023-08-07 00:00:00,3040.07,587.93,1559.63,1366.76,926.67,664.37,789.49,529.5,324.58,228.35
2023-08-08 00:00:00,3016.48,582.79,1571.85,1354.9,922.41,667.6,784.29,523.95,326.18,227.82
2023-08-09 00:00:00,2970.92,578.26,1571,1338.64,921.61,675.77,785.3,521.5,326.74,224.99
2023-08-10 00:00:00,2971.24,578.7,1570.32,1342.32,919.02,676.29,783.7,521.97,325.71,225.95
2023-08-11 00:00:00,2944.98,579.89,1579.26,1338.53,919.97,686.84,785.16,520.56,327.38,224.86
2023-08-14 00:00:00,2999.57,578.82,1584.46,1343.8,920.24,684.56,781.06,521.55,324.66,227.19
2023-08-15 00:00:00,2972.16,568.42,1578.77,1325.41,908.52,667.84,773.12,512.97,319.17,224.89
2023-08-16 00:00:00,2945.89,567.22,1566.51,1308.55,903.49,661.8,770.97,509.56,320.63,222.18
2023-08-17 00:00:00,2917.48,564.39,1554.53,1287.83,895.89,669.15,763.15,508.63,319.56,220.87
2023-08-18 00:00:00,2920.74,563.68,1554.39,1283.67,896.96,675.43,765.98,508.2,320.8,218.7
2023-08-21 00:00:00,2986.82,563.17,1555.86,1298.4,895.72,671.21,761.08,508.31,318.89,220.46
2023-08-22 00:00:00,2979.6,558.22,1550.13,1299.58,893.9,666.07,757.05,507.91,319.73,220.85
2023-08-23 00:00:00,3036.8,563.42,1554.7,1310.37,902.79,664.05,761.79,508.83,321.18,225.05
2023-08-24 00:00:00,2971.45,562.06,1542.82,1284.07,891.79,659.12,755.92,506.62,319.15,220.47
2023-08-25 00:00:00,2995.81,563.99,1552.14,1298.21,899.43,666.18,760.16,507.99,321.65,220.84
2023-08-28 00:00:00,3020.2,567.31,1555.76,1302.98,906.49,671.02,763.63,511.73,321.52,223.16
2023-08-29 00:00:00,3083.96,572.28,1568.67,1333.64,913.52,673.02,766.77,520.31,322.42,228.65
2023-08-30 00:00:00,3109.67,572.97,1568.21,1338.04,917.54,676.45,768.11,521.1,321.05,229.46
2023-08-31 00:00:00,3121.18,570.68,1549.31,1344.81,912.89,677.49,763.99,520.84,317.74,229.72
2023-09-01 00:00:00,3128.21,575.27,1552.95,1337.52,917.58,691.39,757.65,526.13,316.1,228.48
2023-09-05 00:00:00,3140.43,569.76,1538.28,1336.36,902.08,694.76,751.36,516.63,311.22,228.58
2023-09-06 00:00:00,3097.26,568.79,1528.93,1323.38,897.77,695.76,749.91,514.9,311.85,227.34
2023-09-07 00:00:00,3048.62,567.66,1536.18,1330.02,894.94,694.25,752.45,512.62,315.79,227.59
2023-09-08 00:00:00,3054.92,569,1535.49,1330.46,890.79,700.97,753.62,513.26,318.83,228.39
2023-09-11 00:00:00,3068.78,571.1,1545.94,1367.31,890.73,691.75,759.88,515.39,319.9,231.06
2023-09-12 00:00:00,3015.2,575.94,1543.35,1355.07,887.43,707.71,754.5,514.14,320.31,228.61
2023-09-13 00:00:00,3024.55,575.36,1543.72,1367.22,881.52,702.32,756.43,511.09,324.17,229.52
2023-09-14 00:00:00,3045.82,580.37,1547.62,1379.21,890.21,711.19,762.61,518.25,328.95,232.23
2023-09-15 00:00:00,2986.56,577.18,1536.19,1353.31,885.46,701.84,756.39,512.61,327.33,229.65
2023-09-18 00:00:00,3000.66,579,1533.43,1339.68,886.46,706.64,757.03,510.41,327.16,230.26
2023-09-19 00:00:00,2998.35,578.36,1534.89,1331.01,882.34,700.75,755.14,509.91,325.37,230.28
2023-09-20 00:00:00,2945.2,574.53,1535.17,1316.47,878.91,694.06,756.31,504.66,325.71,225.93
2023-09-21 00:00:00,2900.48,565.24,1521.02,1278.57,864.62,684.42,746.41,494.34,322.19,222.44
2023-09-22 00:00:00,2908.04,561.05,1518.09,1267.4,861.67,685.48,742.89,493.72,321.67,222.24
2023-09-25 00:00:00,2921.63,561.9,1526.27,1275.84,865.64,694.25,739.72,497.67,321.04,223.09
2023-09-26 00:00:00,2869.64,554.36,1513.1,1249.98,852.5,690.76,733.06,490.44,311.26,220.09
2023-09-27 00:00:00,2874.46,553.24,1505.61,1245.24,859,708.08,727.42,490.52,305.25,221.27
2023-09-28 00:00:00,2894.2,557.08,1512.8,1257.3,862.66,708.16,729.21,495.65,298.58,223.84
2023-09-29 00:00:00,2905.56,552.16,1501.22,1264,857.57,694.19,727.36,494.54,299.2,222.21
2023-10-02 00:00:00,2944.16,547.53,1499.6,1267.6,849.73,680.95,722.67,488.08,285.09,225.47
2023-10-03 00:00:00,2890.63,538.38,1485.96,1234.72,843.45,680.8,717.62,486.63,288.42,222.32
2023-10-04 00:00:00,2926.8,542.83,1492.7,1259.1,846.68,657.91,722.87,492.44,288.17,225.17
